Golgi control,Golgi atg7ko,Mito,Mito atg7ko,ER,ER atg7ko,Endosome,Endosome atg7ko,Nucleus,Nucleus atg7ko,Lysosome,Lysosome atg7ko,PM,PM atg7ko
,,0.0610441,0.00405618,0.165842,0.206925,0.139402,0.0188149,0.207885,-0.202217,,,-0.162108,-0.0820766
,,0.181009,0.143931,0.0142499,-0.0492974,-0.145377,-0.0982143,-0.0734785,0.0999675,,,-0.0593365,-0.157862
,,0.191197,0.148072,-0.126798,0.205062,0.087845,0.0813241,0.0663286,-0.00399726,,,-0.0481934,-0.0412794
,,0.217483,0.148359,-0.0608263,0.109186,-0.163407,0.246298,-0.0539113,0.0418875,,,-0.0395222,-0.123219
,,0.162555,0.0679139,-0.064018,0.0652493,-0.0679241,-0.0633,0.091512,0.146823,,,-0.0552273,-0.0557898
,,0.198203,0.0699427,-0.115647,0.199404,-0.618674,-0.489803,-0.209107,0.176629,,,0.274783,-0.202286
,,0.190833,0.162762,-0.473386,0.103831,-0.0104933,0.0137367,-0.0548634,-0.00390259,,,-0.0892641,-0.321284
,,0.210713,0.178166,-0.0303893,0.0657135,-0.122051,-0.0434419,-0.145608,-0.125522,,,-0.311478,0.0857047
,,0.22014,0.0749649,-0.128868,-0.310322,-0.0362487,0.0464287,-0.223599,0.0307575,,,0.0304607,-0.0187866
,,0.367612,0.235781,0.0828425,0.113814,0.166651,0.0328854,0.000881451,-0.289822,,,-0.0114233,0.0573665
,,0.104882,0.200039,-0.1179,0.0205495,-0.0723155,0.129371,-0.240542,-0.0634354,,,0.0129077,-0.33648
,,0.190025,0.103259,0.406894,0.0724172,-0.125182,0.0338427,-0.425854,-0.161716,,,-0.329318,-0.0186359
,,0.185653,0.168409,-0.041804,0.450094,-0.192671,-0.0899427,0.24745,-0.285344,,,0.174536,0.087849
,,0.169336,0.117811,-0.72663,0.12554,-0.317681,0.0374088,-0.0231869,0.0287033,,,0.0833655,-0.0785467
,,0.161302,0.0519864,0.00171398,-0.487561,-0.00564287,0.271732,0.232589,-0.177223,,,-0.141394,0.0108805
,,0.153027,0.116344,-0.0572117,-0.0249387,-0.0704809,-0.0482952,0.167509,-0.377436,,,0.0259235,-0.239292
,,0.206632,0.192913,-0.0891362,0.0527567,0.276761,0.203221,-0.124432,0.175061,,,-0.131639,-0.0642184
,,0.161859,0.0614999,-0.0157389,-0.0350319,0.0443959,0.203998,0.0667898,-0.0881938,,,-0.0631558,0.107409
,,0.117964,0.16868,-0.0601761,0.0827545,0.0728547,0.113565,-0.43645,0.0141345,,,0.0279024,-0.0215295
,,0.0754853,0.0988444,-0.0189052,0.062683,0.0993685,0.160076,0.076266,-0.0235832,,,-0.461861,0.216923
,,0.0841709,0.119764,-0.00218476,0.061804,-0.0639196,0.101593,-0.165783,-0.236359,,,-0.0708445,-0.456419
,,0.145047,0.162476,-0.209553,0.020599,-0.0466039,-0.0535395,-0.274977,0.274194,,,0.012353,-0.0553387
,,0.186643,-0.00161032,0.354122,-0.115542,-0.0910531,0.0541041,-0.113302,-0.509681,,,0.102124,0.0454283
,,0.0329679,-0.157372,-0.0860482,0.129011,0.0929731,-0.0769935,0.0832557,-0.0331633,,,-0.145455,0.0965908
,,0.350782,0.0585008,-0.336666,0.11696,-0.164719,-0.0183752,-0.66915,-0.264164,,,-0.110898,-0.0442195
,,-0.0330424,-0.0950259,-0.0158096,-0.221601,-0.164783,-0.213438,0.18769,-0.27371,,,-0.0408499,-0.1215
,,0.545443,0.0205635,-0.0380417,0.0662765,-0.100637,0.178435,-0.391905,-0.496992,,,0.165378,-0.0412302
,,0.196469,0.0645608,-0.128882,0.114657,-0.0612204,-0.172629,-0.364015,-0.243878,,,0.103086,-0.0957907
,,0.254407,0.148713,-0.0194772,0.0560649,-0.508859,0.0809289,-0.155116,0.0494418,,,-0.0750356,0.140895
,,0.309806,0.205757,-0.0151306,0.0644212,-0.0111218,0.0856709,-0.0628565,-0.512044,,,0.139182,-0.185494
,,0.0823531,-0.00165385,-0.00315854,0.0116089,0.0924075,-0.125609,-0.14353,0.104263,,,-0.0774949,-0.390863
,,-0.166433,-0.126678,0.0400657,0.118536,-0.0122976,-0.0174576,0.0642646,-0.441251,,,-0.150285,-0.563288
,,0.217118,0.166753,-0.152386,-0.0190708,0.120076,0.0932004,0.21074,-0.109816,,,-0.356161,-0.386956
,,0.180132,0.0748641,0.061506,0.0849924,0.0610012,-0.0452006,-0.732445,-1.06406,,,-0.421264,-0.141881
,,0.162243,0.114788,-0.167016,0.0686589,0.039699,0.0737609,0.193627,-0.117236,,,-0.600055,0.127336
,,0.235867,0.123531,-0.169562,0.0815618,0.0944758,0.0406978,0.106524,-0.226935,,,-0.366978,-0.30592
,,0.119209,0.123315,0.0603005,0.197679,0.0405845,-0.12398,-0.170131,-0.212397,,,0.191264,-0.0442048
,,0.243307,0.0694886,-0.153269,0.110286,0.00673685,0.106861,0.195032,-0.271505,,,-0.254668,-0.0512003
,,0.0722201,0.0313102,-0.0713794,0.110486,0.152197,0.115364,0.0539009,0.0478327,,,-0.0434644,-0.0954738
,,0.0286843,-0.000452385,0.0336424,0.104084,-0.217475,-0.016427,0.106265,0.173741,,,-0.0271837,0.0881184
,,0.17694,0.084572,0.0339038,0.106288,-0.0255076,0.118503,0.331011,-0.21079,,,-0.0546511,0.183079
,,0.182841,0.143705,-0.693948,-0.448052,0.0887763,-0.286111,0.163318,-0.137157,,,0.0760329,-0.304034
,,-0.00474503,0.231233,-0.268683,-0.127115,-0.105502,0.0198272,-0.320232,0.162838,,,0.142028,0.18944
,,-0.00120655,-0.0885034,-0.225723,0.0029096,-0.0612628,-0.283854,0.0131031,0.0351303,,,-0.199095,0.12461
,,0.0194735,0.0667344,-0.0427414,0.109003,-0.117346,0.12745,-0.000272137,0.0698223,,,0.141728,0.0404158
,,0.295821,-0.153085,0.0851714,-0.0718097,0.0796692,-0.102607,-0.20187,0.104517,,,0.107184,-0.118456
,,0.148064,0.071022,0.0308078,0.31243,-0.0302659,-0.00613479,0.298428,0.0973796,,,0.09044,-0.0852649
,,0.251377,0.20591,0.0702109,0.22007,0.0183601,-0.178574,0.211506,-0.0354228,,,-0.0183451,-0.285376
,,0.124092,0.143581,-1.27754,-1.15499,-0.0347066,0.0703377,0.221547,0.499928,,,-0.156724,0.0489495
,,0.310906,0.185734,-0.210107,-0.0673378,0.0871105,0.059353,-0.125334,0.345209,,,0.0953975,-0.0650688
,,0.133648,0.0579226,-0.0218713,0.156682,0.0747937,0.00129523,-0.17918,0.0801024,,,-0.0424589,-0.512825
,,0.324608,0.253034,-0.407904,-0.374166,-0.0696376,0.12393,0.130459,0.125998,,,-0.498108,-0.106014
,,0.305693,0.0727424,-0.0702932,0.0910789,0.0815199,0.113136,-0.199423,0.217386,,,-0.0254155,-0.201227
,,-0.0494095,0.226029,0.0170048,0.246647,-0.0335959,0.00701573,0.206227,-1.13065,,,-0.210013,-0.0913414
,,0.209802,0.291249,-0.14095,-0.0403259,0.0451709,0.133871,-0.566469,-0.0024087,,,-0.0443921,-0.125941
,,0.0028719,0.0191294,-0.161783,0.14769,-0.0995035,-0.0188237,-0.00885586,-0.0218604,,,-0.202564,0.0441707
,,0.215415,0.186961,-0.0174996,0.10541,0.113992,0.108419,0.0893375,0.191068,,,0.0586755,0.240891
,,0.231916,-0.0184108,0.0173421,0.115856,0.0772199,0.0549688,0.0947577,-0.270483,,,0.106471,0.0869755
,,0.231456,0.152338,-0.027776,-0.4924,0.017125,0.192051,0.0755968,0.198764,,,0.096259,0.0854823
