Fig1_ScaledRank,Gene.Symbol,ScaledRank_HeLa,ScaledRank_HEK293,WT_EBSStoUT_HeLa,ATG7minWT_EBSStoUT_HeLa,priority_HeLa,WT_EBSStoUT_HEK293,ATG7minWT_EBSStoUT,priority_HEK293,prot_MinRank
0.575331504,AKR1D1,NA,0.474432595,NA,NA,NA,0.031659253,0.067246692,0,0.474432595
0.575445816,RRP1,0.474504792,0.489608969,0.108020056,0.105778642,0,0.055755616,0.14694702,0,0.474504792
0.575560128,MARS,0.474632588,0.489745693,0.122529538,0.342648745,0,0.212005375,0.002066755,0,0.474632588
0.57567444,ITGA1,0.474760383,0.489882417,0.212832217,-0.101738082,0,0.05076991,-0.101033196,0,0.474760383
0.575788752,MAZ,0.475015974,0.490019141,0.131300845,-0.735957263,0,-0.007514165,-0.078673694,0,0.475015974
0.575903064,POLE2,0.47514377,0.490155865,-0.097652401,-0.073780922,0,0.088196889,-0.168931321,0,0.47514377
0.576017375,AP1S2,0.475271565,0.49029259,0.136350004,-0.023389722,0,0.069694245,0.035539093,0,0.475271565
0.576131687,ATP5F1E,0.475399361,0.490566038,0.011634448,0.179552162,0,0.229449485,0.02140631,0,0.475399361
0.576245999,ATP5ME,0.475527157,0.490702762,0.011408429,-0.067239533,0,-0.119559456,-0.165063517,0,0.475527157
0.576360311,HDAC4,0.475654952,0.490839486,0.015001831,0.22730336,0,0.069682615,0.100503224,0,0.475654952
0.576474623,EIF6,0.475782748,0.49097621,0.102631877,0.028033696,0,0.114586945,-0.090293958,0,0.475782748
0.576588935,MYOM1,NA,0.475799836,NA,NA,NA,-0.180960547,-0.005060934,0,0.475799836
0.576703246,CTBP2,0.475910543,0.491112934,-0.128795847,-0.041524388,0,-0.088451524,-0.040085979,0,0.475910543
0.576817558,NDUFA6,0.476038339,0.491249658,-0.173291946,-0.335232097,0,-0.135090563,-0.1729613,0,0.476038339
0.57693187,PEX3,0.476166134,0.491386382,-0.046684291,-0.061435036,0,-0.312198313,-0.090798556,0,0.476166134
0.577046182,WNT7B,0.47629393,NA,-0.363576458,-1.378640466,0,NA,NA,NA,0.47629393
0.577160494,BCAR1,0.476421725,0.491523106,-0.068341627,-0.044822561,0,-0.33628654,-0.055934448,0,0.476421725
0.577274806,STX17,0.476549521,0.49165983,0.142898889,0.252976126,0,1.327838431,0.037707799,0,0.476549521
0.577389118,HUNK,0.476677316,NA,0.030537396,0.102130803,0,NA,NA,NA,0.476677316
0.577503429,CFAP298,0.476805112,0.491796555,0.12664362,-0.415078107,0,-0.38561873,-0.064808843,0,0.476805112
0.577617741,SLC7A2,NA,0.476893629,NA,NA,NA,-0.536726299,-0.003508482,0,0.476893629
0.577732053,RIPK4,0.476932907,0.491933279,-0.262248888,-0.158974588,0,0.088890514,-0.014397302,0,0.476932907
0.577846365,WDR4,0.477060703,0.492070003,0.65799937,-0.299758419,0,0.057860891,-0.166909705,0,0.477060703
0.577960677,CORO7,0.477188498,0.492616899,0.209710532,0.028557134,0,0.15621965,-0.228630699,0,0.477188498
0.578074989,GTF2A2,NA,0.477303801,NA,NA,NA,0.048294482,-0.171622999,0,0.477303801
0.5781893,NUP107,0.477444089,0.492753623,0.046404607,-0.108888161,0,-0.085743836,-0.010983221,0,0.477444089
0.578303612,EEFSEC,0.477571885,0.493027071,0.171279737,-0.06401631,0,-0.037703804,-0.013021523,0,0.477571885
0.578417924,FBXW4,0.477699681,NA,-0.394738113,-0.12796756,0,NA,NA,NA,0.477699681
0.578532236,ZNF136,NA,0.477713973,NA,NA,NA,0.124921217,-0.364683772,0,0.477713973
0.578646548,SESN2,0.477827476,0.493163795,0.173968643,0.818657778,0,-0.41216405,-0.4814455,0,0.477827476
0.57876086,ZNF121,0.477955272,0.493437244,0.110010169,-0.151226456,0,0.192732734,-0.428008036,0,0.477955272
0.578875171,MLF1,0.478083067,NA,-0.896152345,-0.622874195,0,NA,NA,NA,0.478083067
0.578989483,MTPN,0.478210863,0.493573968,0.459575073,-0.341682494,0,0.192890324,0.21580698,0,0.478210863
0.579103795,YBEY,0.478338658,0.493710692,0.144736613,-0.021343955,0,0.267743919,-0.187530902,0,0.478338658
0.579218107,CD81,0.478466454,0.494120864,-0.064741071,-0.233775321,0,0.059070761,-0.429854558,0,0.478466454
0.579332419,TPI1,0.478594249,0.494257588,0.442455469,-0.10944967,0,0.139447473,-0.076110029,0,0.478594249
0.579446731,HMGA2,NA,0.478807766,NA,NA,NA,0.199825194,-0.272359906,0,0.478807766
0.579561043,PPP4C,0.478977636,0.494531036,-0.230862849,-0.027178688,0,-0.151076095,-0.162630764,0,0.478977636
0.579675354,SNAP25,0.479361022,NA,0.692629073,-0.591719327,0,NA,NA,NA,0.479361022
0.579789666,CDC42,0.479616613,0.495214657,0.067198435,0.041548474,0,0.086668208,-0.257080923,0,0.479616613
0.579903978,GMFB,0.479872204,0.495351381,0.096504332,0.021519856,0,0.120604304,0.030565091,0,0.479872204
0.58001829,NUDT6,NA,0.479901559,NA,NA,NA,0.259125329,-0.178491882,0,0.479901559
0.580132602,CKS1B,0.48,NA,0.588873266,-0.178401004,0,NA,NA,NA,0.48
0.580246914,UBE2M,0.480127796,0.495898277,0.297948507,-0.043459692,0,0.133098812,-0.024650439,0,0.480127796
0.580361225,UBE2K,0.480255591,0.496035001,0.385263176,-0.160268291,0,0.154005909,-0.090781086,0,0.480255591
0.580475537,CEBPG,NA,0.480311731,NA,NA,NA,0.345784063,-0.517611718,0,0.480311731
0.580589849,UBE2N,0.480383387,0.496171725,0.293704968,0.001011559,0,0.145902846,-0.114796168,0,0.480383387
