Golgi AA,Golgi atg7KO AA,ER AA,ER atg7KO AA,Total AA,Total atg7KO AA,Golgi torin,Golgi torin atg7ko,ER torin,ER torin atg7 ko,Total torin,Total torin atg7ko
-0.193651,0.0769035,-0.0515931,0.0501013,0.0797201,0.0295164,-0.288847,0.498833,-0.0151052,-0.0204351,0.00193963,-0.12278
-0.122645,-0.0705375,0.00914173,-0.148391,-0.0059174,0.0294133,-0.0492503,-0.0778601,-0.0961119,-0.179995,0.146201,-0.112576
-0.238155,0.16479,-0.236363,0.139043,-0.138754,0.153182,-0.294677,0.0806182,-0.115486,0.0796945,0.187923,0.0465969
-0.0904581,0.234124,-0.0708828,0.0725361,-0.10141,-0.0416253,0.0309124,0.230921,-0.0657548,0.208969,0.0505759,0.0736245
-0.162626,0.0672365,-0.0871427,0.145274,-0.0348261,-0.203572,-0.337864,0.166506,0.0328669,0.085538,0.0692146,0.249183
0.154587,0.0334268,0.0112379,-0.177312,0.113849,-0.19168,0.434796,0.0367082,0.146283,-0.0780198,0.0201253,-0.0535542
-0.140871,0.169196,0.0301411,0.0742518,-0.00648691,-0.174183,-0.305833,0.170252,-0.0217649,0.182889,0.0651618,0.0364222
-0.330616,0.12783,-0.0465895,0.028528,-0.0574614,0.222065,-0.192367,0.0140934,-0.131545,0.182347,0.0466065,0.147188
0.296593,0.102735,-0.277805,0.174838,0.173431,-0.0439341,0.169441,0.423551,-0.285222,0.178302,0.211101,0.00833905
-0.164613,0.0894286,0.0353324,0.0993793,-0.0756474,-0.0633799,-0.159186,-0.0792989,-0.109199,0.0279406,0.036945,0.0158641
0.262807,0.00461946,0.0772013,-0.090837,0.0504559,0.0428703,0.218797,0.0726094,0.0117766,-0.0584387,0.277999,0.0386658
0.129083,0.270055,-0.173112,0.271015,-0.078142,-0.0922824,0.075062,0.101693,-0.058348,0.17822,0.0191758,-0.0268711
-0.243375,-0.183067,-0.139082,0.0349196,-0.0177542,0.0360917,-0.308028,-0.179793,-0.141913,0.107136,0.200674,0.12708
-0.174816,0.0475057,-0.631016,-0.0793794,-0.0272922,-0.11679,-0.00962888,0.0849611,-0.480462,-0.0810862,-0.0545451,-0.0310361
-0.0637961,0.160608,-0.0218666,-0.369154,-0.250671,0.0398841,0.03093,0.0797572,-0.0831725,-0.392467,-0.214881,0.171271
-0.17694,-0.0103658,-0.0771513,0.168298,0.0522686,-0.014254,-0.272655,-0.0334422,-0.129929,0.0948801,0.060348,-0.0912557
-0.390469,0.0496434,-0.0830483,0.130036,-0.0639571,-0.171784,-0.396085,0.172574,-0.21777,0.0889612,-0.0790998,-0.174702
-0.13145,0.175175,-0.0620931,0.0763049,-0.233611,0.117214,-0.260476,0.29506,-0.166135,-0.026865,-0.183584,0.0968425
